Id,Price,Year,Mileage,City,State,Vin,Make,Model,Vehicle Style,Vehicle Size,MSRP,City MPG,Engine HP,Highway MPG,Popularity,Total Depreciation,Age,Avg MPG,Avg Depreciation Per Year
1,16472,2015,18681,Jefferson City, MO,KL4CJBSBXFB267643,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11179.25,3.0,27.75,3726.4166666666665
2,15749,2015,27592,Highland, IN,KL4CJASB5FB245057,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11902.25,3.0,27.75,3967.4166666666665
3,16998,2015,13650,Boone, NC,KL4CJCSB0FB264921,Buick,EncoreLeather,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10653.25,3.0,27.75,3551.0833333333335
4,15777,2015,25195,New Orleans, LA,KL4CJASB4FB217542,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11874.25,3.0,27.75,3958.0833333333335
5,16784,2015,22800,Las Vegas, NV,KL4CJBSB3FB166881,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10867.25,3.0,27.75,3622.4166666666665
6,17020,2016,16877,Grand Island, NY,KL4CJASB7GB536760,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10901.0,2.0,28.200000000000003,5450.5
7,15950,2015,27885,West Covina, CA,KL4CJASB3FB241802,Buick,EncoreFWD,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,11701.25,3.0,27.75,3900.4166666666665
8,17091,2016,24008,Little Rock, AR,KL4CJASBXGB565542,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10830.0,2.0,28.200000000000003,5415.0
9,16995,2015,8624,Punta Gorda, FL,KL4CJFSB7FB173565,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,10656.25,3.0,27.75,3552.0833333333335
10,17700,2015,13807,Jacksonville, NC,KL4CJBSB8FB068543,Buick,EncoreConvenience,SUV,Compact,27651.25,24.0,138.0,31.5,155.0,9951.25,3.0,27.75,3317.0833333333335
12,18988,2017,4705,Bowling Green, KY,KL4CJASB7HB035630,Buick,EncoreFWD,SUV,Compact,28015.0,25.0,138.0,31.7,155.0,9027.0,1.0,28.35,9027.0
13,17491,2016,11123,Memphis, TN,KL4CJASBXGB720588,Buick,EncoreFWD,SUV,Compact,27921.0,24.6,141.0,31.8,155.0,10430.0,2.0,28.200000000000003,5215.0
